customer_id,company_name,industry,country,city,signup_date,plan_type,account_manager
CUS0063,Company 63,Consulting,Germany,Berlin,2022-06-11,Growth,Priya Sharma
CUS0064,Company 64,Education,USA,New York,2023-11-15,Starter,James Patel
CUS0065,Company 65,Fintech,Germany,Berlin,2022-04-29,Growth,Emma Rodriguez
CUS0066,Company 66,E-commerce,Germany,Berlin,2023-09-12,Pro,James Patel
CUS0067,Company 67,Consulting,Germany,Berlin,2023-06-02,Growth,Sarah Mitchell
CUS0068,Company 68,Media,UK,London,2023-10-12,Growth,Sarah Mitchell
CUS0069,Company 69,Healthcare,USA,New York,2022-12-08,Growth,James Patel
CUS0070,Company 70,Media,Netherlands,Amsterdam,2023-07-19,Starter,Sarah Mitchell
CUS0071,Company 71,Healthcare,UK,London,2024-06-23,Starter,Emma Rodriguez
CUS0072,Company 72,Healthcare,Canada,Toronto,2023-03-17,Starter,Emma Rodriguez
CUS0073,Company 73,SaaS,India,Bangalore,2024-03-26,Pro,James Patel
CUS0074,Company 74,Fintech,Australia,Sydney,2023-11-14,Pro,Priya Sharma
CUS0075,Company 75,Healthcare,Singapore,Singapore,2023-09-28,Growth,James Patel
CUS0076,Company 76,Media,Canada,Toronto,2024-06-21,Starter,James Patel
CUS0077,Company 77,Media,India,Bangalore,2024-03-12,Growth,Emma Rodriguez
CUS0078,Company 78,Fintech,Canada,Toronto,2024-03-17,Pro,Sarah Mitchell
CUS0079,Company 79,E-commerce,Netherlands,Amsterdam,2022-08-16,Enterprise,Emma Rodriguez
CUS0080,Company 80,E-commerce,Germany,Berlin,2024-04-20,Growth,Sarah Mitchell
CUS0081,Company 81,Logistics,Australia,Sydney,2023-02-13,Growth,Sarah Mitchell
CUS0082,Company 82,Media,Germany,Berlin,2022-12-26,Pro,Sarah Mitchell
CUS0083,Company 83,Education,UK,London,2024-06-17,Growth,Priya Sharma
CUS0084,Company 84,Fintech,Germany,Berlin,2022-02-09,Pro,Emma Rodriguez
CUS0085,Company 85,Fintech,India,Bangalore,2023-03-23,Pro,Priya Sharma
CUS0086,Company 86,SaaS,Australia,Sydney,2022-09-18,Pro,Sarah Mitchell
CUS0087,Company 87,Media,Australia,Sydney,2023-01-08,Starter,Emma Rodriguez
CUS0088,Company 88,Fintech,India,Bangalore,2023-11-11,Growth,Priya Sharma
CUS0089,Company 89,Media,Germany,Berlin,2023-11-14,Pro,David Chen
CUS0090,Company 90,Healthcare,Germany,Berlin,2023-07-22,Growth,David Chen
CUS0091,Company 91,Healthcare,Singapore,Singapore,2023-11-25,Growth,David Chen
CUS0092,Company 92,Education,USA,New York,2022-11-08,Growth,David Chen
CUS0093,Company 93,Consulting,India,Bangalore,2023-04-22,Enterprise,James Patel
CUS0094,Company 94,Healthcare,Netherlands,Amsterdam,2024-03-23,Starter,Emma Rodriguez
CUS0095,Company 95,E-commerce,India,Bangalore,2022-04-06,Growth,James Patel
CUS0096,Company 96,SaaS,Australia,Sydney,2022-05-31,Starter,James Patel
CUS0097,Company 97,Fintech,Netherlands,Amsterdam,2023-09-18,Enterprise,David Chen
CUS0098,Company 98,Media,Australia,Sydney,2024-01-06,Enterprise,David Chen
CUS0099,Company 99,SaaS,Australia,Sydney,2022-06-01,Starter,David Chen
CUS0100,Company 100,Consulting,Australia,Sydney,2022-06-30,Starter,Priya Sharma
